crash_id,state,remoteness,sa4_name,lga_name,road_type
20243091,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,National or State Highway
20243184,QLD,Inner Regional Australia,Central Queensland,Rockhampton,Local Road
20242104,VIC,Outer Regional Australia,Hume,Mansfield,Local Road
20248004,ACT,Inner Regional Australia,Australian Capital Territory,Unincorporated ACT,Collector Road
20242101,VIC,Inner Regional Australia,Ballarat,Moorabool,National or State Highway
20243195,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Isaac,National or State Highway
20243055,QLD,Major Cities of Australia,Brisbane - North,Brisbane,Sub-arterial Road
20241212,NSW,Inner Regional Australia,Central West,Bathurst,Local Road
20241241,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Arterial Road
20243071,QLD,Major Cities of Australia,Sunshine Coast,Sunshine Coast,National or State Highway
20241171,NSW,Outer Regional Australia,New England and North West,Inverell,National or State Highway
20243193,QLD,Outer Regional Australia,Darling Downs - Maranoa,Western Downs,National or State Highway
20244011,SA,Very Remote Australia,South Australia - Outback,Unincorporated SA,National or State Highway
20242225,VIC,Inner Regional Australia,Hume,Mitchell,Sub-arterial Road
20242160,VIC,Inner Regional Australia,Hume,Benalla,Local Road
20241183,NSW,Outer Regional Australia,New England and North West,Tamworth,Arterial Road
20241025,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National or State Highway
20241079,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Bellingen,Arterial Road
20246010,TAS,Outer Regional Australia,Launceston and North East,Break O'Day,Arterial Road
20242235,VIC,Outer Regional Australia,North West,Mildura,Local Road
20242113,VIC,Outer Regional Australia,Hume,Mansfield,Arterial Road
20242025,VIC,Inner Regional Australia,Warrnambool and South West,Moyne,Arterial Road
20241148,NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,Local Road
20241262,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,Arterial Road
20241172,NSW,Major Cities of Australia,Sydney - North Sydney and Hornsby,Willoughby,Arterial Road
20242192,VIC,Inner Regional Australia,Latrobe - Gippsland,Wellington,National or State Highway
20241014,NSW,Inner Regional Australia,Murray,Albury,National or State Highway
20242191,VIC,Major Cities of Australia,Melbourne - South East,Greater Dandenong,Arterial Road
20243189,QLD,Outer Regional Australia,Townsville,Burdekin,Local Road
20244033,SA,Very Remote Australia,South Australia - Outback,Unincorporated SA,National or State Highway
20241206,NSW,Inner Regional Australia,Central Coast,Central Coast (NSW),Arterial Road
20243069,QLD,Outer Regional Australia,Townsville,Townsville,Local Road
20243188,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Local Road
20241130,NSW,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,The Hills,Busway
20241178,NSW,Major Cities of Australia,Sydney - Inner South West,Georges River,Arterial Road
20248011,ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Arterial Road
20241043,NSW,Outer Regional Australia,Murray,Edward River,Sub-arterial Road
20244054,SA,Outer Regional Australia,South Australia - South East,Coorong,Sub-arterial Road
20243032,QLD,Major Cities of Australia,Brisbane - East,Redland,Local Road
20244015,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Local Road
20243112,QLD,Outer Regional Australia,Central Queensland,Gladstone,National or State Highway
20243253,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road
20246028,TAS,Outer Regional Australia,Launceston and North East,George Town,Arterial Road
20242244,VIC,Inner Regional Australia,Hume,Mitchell,National or State Highway
20244006,SA,Major Cities of Australia,Adelaide - West,Port Adelaide Enfield,Arterial Road
20241154,NSW,Inner Regional Australia,Richmond - Tweed,Richmond Valley,Local Road
20241146,NSW,Major Cities of Australia,Sydney - Ryde,Ryde,Arterial Road
20242009,VIC,Inner Regional Australia,Latrobe - Gippsland,Bass Coast,Sub-arterial Road
20241217,NSW,Inner Regional Australia,Capital Region,Yass Valley,National or State Highway
20242030,VIC,Inner Regional Australia,Latrobe - Gippsland,Wellington,Sub-arterial Road
20243025,QLD,Very Remote Australia,Queensland - Outback,Richmond,National or State Highway
20242168,VIC,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,Arterial Road
20246021,TAS,Outer Regional Australia,Launceston and North East,Northern Midlands,Arterial Road
20241238,NSW,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Sub-arterial Road
20241158,NSW,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,National or State Highway
20243228,QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,Collector Road
20242210,VIC,Inner Regional Australia,Hume,Strathbogie,Local Road
20242253,VIC,Inner Regional Australia,Ballarat,Moorabool,National or State Highway
20242256,VIC,Inner Regional Australia,Latrobe - Gippsland,Latrobe (Vic.),Local Road
20241289,NSW,Remote Australia,Murray,Hay,Sub-arterial Road
20243045,QLD,Inner Regional Australia,Wide Bay,Fraser Coast,National or State Highway
20242028,VIC,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,Arterial Road
20243054,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Sub-arterial Road
20241187,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,National or State Highway
20246007,TAS,Outer Regional Australia,Launceston and North East,Dorset,Collector Road
20241126,NSW,Outer Regional Australia,Central West,Weddin,Arterial Road
20244049,SA,Inner Regional Australia,Adelaide - Central and Hills,Mount Barker,Arterial Road
20242021,VIC,Inner Regional Australia,Melbourne - West,Moorabool,National or State Highway
20242045,VIC,Major Cities of Australia,Melbourne - Outer East,Knox,Arterial Road
20243101,QLD,Inner Regional Australia,Central Queensland,Rockhampton,Access road
20242206,VIC,Outer Regional Australia,North West,Buloke,Arterial Road
20242117,VIC,Inner Regional Australia,Shepparton,Greater Shepparton,Sub-arterial Road
20241226,NSW,Outer Regional Australia,Capital Region,Snowy Monaro,National or State Highway
20242079,VIC,Outer Regional Australia,Shepparton,Moira,Sub-arterial Road
20241156,NSW,Outer Regional Australia,Far West and Orana,Warrumbungle,National or State Highway
20243093,QLD,Inner Regional Australia,Toowoomba,Lockyer Valley,Sub-arterial Road
20243125,QLD,Major Cities of Australia,Brisbane - North,Brisbane,Sub-arterial Road
20243134,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Local Road
20242239,VIC,Inner Regional Australia,Geelong,Surf Coast,Sub-arterial Road
20241232,NSW,Outer Regional Australia,Central West,Lachlan,Arterial Road
20241061,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Waverley,Local Road
20244056,SA,Remote Australia,South Australia - Outback,Unincorporated SA,Sub-arterial Road
20242039,VIC,Outer Regional Australia,North West,Northern Grampians,Sub-arterial Road
20241182,NSW,Inner Regional Australia,Mid North Coast,Mid-Coast,Arterial Road
20241044,NSW,Outer Regional Australia,New England and North West,Gunnedah,National or State Highway
20242131,VIC,Inner Regional Australia,Shepparton,Campaspe,Sub-arterial Road
20244031,SA,Outer Regional Australia,South Australia - South East,Wattle Range,National or State Highway
20242059,VIC,Major Cities of Australia,Melbourne - South East,Casey,Local Road
20242033,VIC,Major Cities of Australia,Melbourne - Inner South,Glen Eira,Arterial Road
20241207,NSW,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,National or State Highway
20243033,QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Sub-arterial Road
20242159,VIC,Major Cities of Australia,Melbourne - West,Melton,Arterial Road
20243177,QLD,Inner Regional Australia,Moreton Bay - North,Moreton Bay,Sub-arterial Road
20243241,QLD,Major Cities of Australia,Brisbane - North,Brisbane,National or State Highway
20243132,QLD,Major Cities of Australia,Brisbane - North,Brisbane,Collector Road
20243159,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road
20242072,VIC,Inner Regional Australia,Hume,Indigo,National or State Highway
20243028,QLD,Outer Regional Australia,Townsville,Charters Towers,Local Road
20243105,QLD,Outer Regional Australia,Cairns,Mareeba,Local Road
20242258,VIC,Outer Regional Australia,North West,Horsham,National or State Highway
20241007,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Local Road
20241227,NSW,Major Cities of Australia,Sydney - Eastern Suburbs,Randwick,Arterial Road
20243130,QLD,Inner Regional Australia,Toowoomba,Lockyer Valley,National or State Highway
20242065,VIC,Major Cities of Australia,Melbourne - South East,Casey,Arterial Road
20243259,QLD,Major Cities of Australia,Gold Coast,Gold Coast,Collector Road
20244052,SA,Inner Regional Australia,Adelaide - North,Adelaide Plains,Sub-arterial Road
20242247,VIC,Major Cities of Australia,Melbourne - Inner,Stonnington,Collector Road
20241093,NSW,Inner Regional Australia,New England and North West,Armidale,Local Road
20241276,NSW,Major Cities of Australia,Sydney - Outer South West,Campbelltown (NSW),Arterial Road
20242208,VIC,Inner Regional Australia,Shepparton,Campaspe,Arterial Road
20241157,NSW,Inner Regional Australia,Central West,Cowra,National or State Highway
20244065,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Mount Remarkable,Arterial Road
