crash_id,year,month,day_of_week,time_of_day,christmas,easter
20152185,2015,12,Weekend,Day,No,No
20151192,2015,12,Weekend,Night,No,No
20155081,2015,12,Weekend,Night,No,No
20152191,2015,12,Weekend,Night,No,No
20155009,2015,12,Weekend,Night,No,No
20151141,2015,12,Weekend,Night,Yes,No
20155035,2015,12,Weekend,Day,No,No
20151282,2015,12,Weekend,Day,No,No
20151154,2015,12,Weekend,Day,No,No
20152220,2015,12,Weekend,Day,No,No
20152090,2015,12,Weekend,Day,No,No
20152104,2015,12,Weekend,Day,Yes,No
20155103,2015,12,Weekend,Night,No,No
20151008,2015,12,Weekend,Night,No,No
20152088,2015,12,Weekday,Night,Yes,No
20158013,2015,12,Weekday,Day,No,No
20151021,2015,12,Weekday,Day,No,No
20152139,2015,12,Weekday,Night,No,No
20154012,2015,12,Weekday,Night,No,No
20151216,2015,12,Weekday,Night,No,No
20152023,2015,12,Weekday,Night,Yes,No
20151002,2015,12,Weekday,Night,Yes,No
20157011,2015,12,Weekday,Night,Yes,No
20152096,2015,12,Weekday,Night,No,No
20152163,2015,12,Weekday,Day,No,No
20155116,2015,12,Weekday,Day,No,No
20151028,2015,12,Weekday,Day,Yes,No
20151017,2015,12,Weekday,Day,Yes,No
20151054,2015,12,Weekday,Night,Yes,No
20152105,2015,12,Weekday,Night,Yes,No
20155034,2015,12,Weekday,Night,No,No
20151033,2015,12,Weekday,Night,No,No
20155102,2015,12,Weekday,Day,No,No
20151104,2015,12,Weekday,Day,No,No
20157017,2015,12,Weekday,Day,No,No
20154013,2015,12,Weekday,Day,No,No
20154073,2015,12,Weekday,Day,Yes,No
20151254,2015,12,Weekday,Day,No,No
20156008,2015,12,Weekday,Day,No,No
20155080,2015,12,Weekday,Day,No,No
20151039,2015,12,Weekday,Day,Yes,No
20155011,2015,12,Weekday,Day,No,No
20151199,2015,12,Weekday,Day,No,No
20152146,2015,12,Weekday,Day,No,No
20152022,2015,12,Weekday,Day,Yes,No
20156025,2015,12,Weekday,Night,Yes,No
20151145,2015,12,Weekday,Night,Yes,No
20151241,2015,12,Weekday,Night,No,No
20155044,2015,12,Weekday,Night,No,No
20154019,2015,11,Weekday,Day,No,No
20151224,2015,11,Weekday,Day,No,No
20154054,2015,11,Weekday,Day,No,No
20151097,2015,11,Weekday,Day,No,No
20152061,2015,11,Weekday,Day,No,No
20151013,2015,11,Weekday,Day,No,No
20151275,2015,11,Weekday,Day,No,No
20152168,2015,11,Weekday,Day,No,No
20155058,2015,11,Weekend,Night,No,No
20151004,2015,11,Weekend,Night,No,No
20154020,2015,11,Weekend,Night,No,No
20151206,2015,11,Weekend,Night,No,No
20154096,2015,11,Weekend,Night,No,No
20155004,2015,11,Weekend,Night,No,No
20152172,2015,11,Weekend,Night,No,No
20152080,2015,11,Weekday,Day,No,No
20152044,2015,11,Weekday,Day,No,No
20152095,2015,11,Weekday,Day,No,No
20155121,2015,11,Weekday,Day,No,No
20155063,2015,11,Weekday,Day,No,No
20155024,2015,11,Weekday,Day,No,No
20151197,2015,11,Weekday,Day,No,No
20154040,2015,11,Weekday,Day,No,No
20151010,2015,11,Weekday,Day,No,No
20151044,2015,11,Weekday,Day,No,No
20151304,2015,11,Weekday,Day,No,No
20152136,2015,11,Weekday,Night,No,No
20152230,2015,11,Weekday,Night,No,No
20151185,2015,11,Weekend,Night,No,No
20151066,2015,11,Weekend,Night,No,No
20155112,2015,11,Weekend,Day,No,No
20155006,2015,11,Weekend,Day,No,No
20154084,2015,11,Weekend,Day,No,No
20152194,2015,11,Weekend,Day,No,No
20158008,2015,11,Weekend,Day,No,No
20152210,2015,11,Weekend,Day,No,No
20152101,2015,11,Weekend,Night,No,No
20152091,2015,11,Weekend,Night,No,No
20151226,2015,11,Weekend,Night,No,No
20151272,2015,11,Weekend,Night,No,No
20152112,2015,11,Weekend,Day,No,No
20154081,2015,11,Weekend,Day,No,No
20154007,2015,11,Weekend,Day,No,No
20152202,2015,11,Weekend,Day,No,No
20155071,2015,11,Weekend,Day,No,No
20151136,2015,11,Weekend,Day,No,No
